Rank,Name,Country_Code,CoL_Index,Rent_Index,Groceries_Index,Restaurant_Index,Local_PP_Index
1,Switzerland,CHE,121.16,50.25,120.81,123.09,129.7
2,Iceland,ISL,101.86,48.28,92.1,111.85,91.8
3,Norway,NOR,100.99,37.28,92.67,111.53,103.61
4,Luxembourg,LUX,86.09,55.64,75.1,96.08,106.26
5,Denmark,DN1,81.38,32.91,63.62,95.14,114.39
6,Ireland,IRL,75.35,41.8,59.1,82.65,95.09
7,France,FR1,74.85,26.25,68.31,75.37,91.55
8,Netherlands,NL1,74.83,34.74,58.8,83.49,102.54
9,Belgium,BEL,72.97,25.81,60.86,83.4,95.09
10,Finland,FI1,72.82,26.14,60.02,77.91,112.3
11,Austria,AUT,71.79,27.63,65.63,70.08,96.7
12,Sweden,SWE,71.55,26.05,63.45,75.04,111.38
13,Italy,ITA,69.25,21.68,58.34,75.72,77.49
14,Germany,DEU,67.62,26.85,54.27,63.56,116.2
15,United Kingdom,GB1,65.28,28.6,51.85,72.37,105.73
16,Malta,MLT,63.32,28.68,51.23,67.28,59.67
17,Greece,GRC,56.66,10.8,43.69,54.76,49.57
18,Spain,ESP,54.7,20.73,44.02,54.13,83.8
19,Slovenia,SVN,52.51,15.36,43.27,43.83,75.38
20,Estonia,EST,51.01,15.38,37.06,51.24,75.97
21,Portugal,PRT,50.39,21.07,40.2,43.13,55.19
22,Latvia,LVA,49.23,12.02,36.65,45.47,55.16
23,Croatia,HRV,49.18,11.6,40.33,40.36,60.33
24,Lithuania,LTU,45.91,12.9,35.36,43.95,60.34
25,Czech Republic,CZE,45.12,18.27,38.08,33.25,71.32
26,Slovakia,SVK,44.98,16.13,38.5,33.64,63.24
27,Hungary,HUN,42.03,13.64,32.36,33.43,54.66
28,Montenegro,MNE,39.61,9.95,30.75,34.25,46.28
29,Poland,POL,39.13,14.92,30.66,32.72,70
30,Bulgaria,BGR,37.17,9.15,31.15,29.86,52.18
31,Romania,ROU,36.45,10,29.88,32.26,61.16
32,Albania,ALB,36.17,8.21,28.59,29.34,33.81
33,Bosnia And Herzegovina,BIH,35.72,6.32,28.81,23.78,49.18
34,Russia,RUS,35.52,12.68,29.18,37,45.38
35,Serbia,SRB,35.39,8.08,26.3,27.84,39.9
36,Belarus,BLR,33.12,9.96,27.77,35.98,44.64
37,Moldova,MDA,32.26,7.97,24.97,27.71,30.75
38,Macedonia,MKD,31.58,6.47,24.85,23.67,39.83
39,Ukraine,UKR,27.94,9.53,22.47,22.14,32.72
40,Kosovo (Disputed Territory),KOS,26.18,8.05,23.21,19.57,61.82
